"indicator","boundary","framework_1","framework_2","median_difference","q025","q975","probability_difference_gt_0"
"ab","q100","RMQS_BioDiv_Bretagne","ANDRA",-2239,-6014,27710,0.341
"ab","q20","RMQS_BioDiv_Bretagne","ANDRA",1249.2,471.595,1887.2,1
"ab","q40","RMQS_BioDiv_Bretagne","ANDRA",1626.2,446.6,2993.61,0.997
"ab","q60","RMQS_BioDiv_Bretagne","ANDRA",4550.8,1814.395,6414.98,1
"ab","q80","RMQS_BioDiv_Bretagne","ANDRA",10588.4,6737.325,14384.8,1
"RSr","q00","RMQS_BioDiv_Bretagne","TIGA_rural",1,-1,2,0.611
"RSr","q100","RMQS_BioDiv_Bretagne","TIGA_rural",-0.465782493897578,-3.36618037245295,3.59190799154115,0.313
"RSr","q20","RMQS_BioDiv_Bretagne","TIGA_rural",0.845122212333381,-0.999999447530332,1.99999999999999,0.757
"RSr","q40","RMQS_BioDiv_Bretagne","TIGA_rural",1.60006430530823,8.41786415617386e-07,2.9637065069447,0.977
"RSr","q60","RMQS_BioDiv_Bretagne","TIGA_rural",1.80226775133713,0.948861823258181,2.79782095917173,0.999
"RSr","q80","RMQS_BioDiv_Bretagne","TIGA_rural",1.01948497245928,-0.00112917916724196,2.64532927048482,0.974
"ab","q00","RMQS_BioDiv_Bretagne","TIGA_rural",118,-354,708,0.583
"ab","q100","RMQS_BioDiv_Bretagne","TIGA_rural",10496,-63554,30657,0.573
"ab","q20","RMQS_BioDiv_Bretagne","TIGA_rural",1250,400.6,1980.42,0.998
"ab","q40","RMQS_BioDiv_Bretagne","TIGA_rural",2193.3,893.86,3655.61,1
"ab","q60","RMQS_BioDiv_Bretagne","TIGA_rural",5212.2,2428.785,7451.39,1
"ab","q80","RMQS_BioDiv_Bretagne","TIGA_rural",11366.8,7120.025,15211.54,1
"RSr","q00","ANDRA","TIGA_rural",0,-2,2,0.206
"RSr","q100","ANDRA","TIGA_rural",3.06354188657529,-1.88531812768559,7.99336622934503,0.899
"RSr","q20","ANDRA","TIGA_rural",1.99999999975471,0.999987228340761,2.99999999988754,0.997
"RSr","q40","ANDRA","TIGA_rural",1.0000017924642,0.000891608453259218,2.79882100905993,0.994
"RSr","q60","ANDRA","TIGA_rural",1.80068405397437,0.0777212021810098,2.82792467725312,0.998
"RSr","q80","ANDRA","TIGA_rural",2.00000040800552,0.999998231457726,2.99999995718281,1
"ab","q00","ANDRA","TIGA_rural",0,-472,354,0.198
"ab","q100","ANDRA","TIGA_rural",6368,-70747,33485,0.542
"ab","q20","ANDRA","TIGA_rural",23,-659.81,613.21,0.528
"ab","q40","ANDRA","TIGA_rural",614.4,-470.41,1463.595,0.905
"ab","q60","ANDRA","TIGA_rural",754.4,-614.75,2075.825,0.868
"ab","q80","ANDRA","TIGA_rural",907.700000000001,-2454.935,2854.76,0.732
