"Nom_site","treatment_site","treatment","contamination","control_site","control_treatment","control_contamination","indicator","raw_treatment","raw_control","LRR","framework","score_treatment","score_control","delta_score"
"Thil","B10THTR","réduit 15cm","non","B10THLT","labour 30cm","non","RSr",11.9983426509358,12.8790411819595,-0.0708327476832018,"RMQS_BioDiv_Bretagne",5,5,0
"Thil","B10THTR","réduit 15cm","non","B10THLT","labour 30cm","non","RSr",11.9983426509358,12.8790411819595,-0.0708327476832018,"ANDRA",5,5,0
"Thil","B10THTR","réduit 15cm","non","B10THLT","labour 30cm","non","RSr",11.9983426509358,12.8790411819595,-0.0708327476832018,"TIGA_rural",5,5,0
"Thil","B10THTS","réduit 7cm","non","B10THLT","labour 30cm","non","RSr",9.99535556235837,12.8790411819595,-0.253480734168316,"RMQS_Biodiversite",5,5,0
"Thil","B10THTS","réduit 7cm","non","B10THLT","labour 30cm","non","RSr",9.99535556235837,12.8790411819595,-0.253480734168316,"RMQS_BioDiv_Bretagne",4,5,-1
"Thil","B10THTS","réduit 7cm","non","B10THLT","labour 30cm","non","RSr",9.99535556235837,12.8790411819595,-0.253480734168316,"ANDRA",4,5,-1
"Thil","B10THTS","réduit 7cm","non","B10THLT","labour 30cm","non","RSr",9.99535556235837,12.8790411819595,-0.253480734168316,"TIGA_rural",5,5,0
"Thil","B10THLA","labour 15cm","non","B10THLT","labour 30cm","non","ab",8489,12822,-0.412391237809235,"RMQS_Biodiversite",5,5,0
"Thil","B10THLA","labour 15cm","non","B10THLT","labour 30cm","non","ab",8489,12822,-0.412391237809235,"RMQS_BioDiv_Bretagne",3,4,-1
"Thil","B10THLA","labour 15cm","non","B10THLT","labour 30cm","non","ab",8489,12822,-0.412391237809235,"ANDRA",5,5,0
"Thil","B10THLA","labour 15cm","non","B10THLT","labour 30cm","non","ab",8489,12822,-0.412391237809235,"TIGA_rural",5,5,0
"Thil","B10THTR","réduit 15cm","non","B10THLT","labour 30cm","non","ab",5568,12822,-0.834126522532947,"RMQS_Biodiversite",4,5,-1
"Thil","B10THTR","réduit 15cm","non","B10THLT","labour 30cm","non","ab",5568,12822,-0.834126522532947,"RMQS_BioDiv_Bretagne",3,4,-1
"Thil","B10THTR","réduit 15cm","non","B10THLT","labour 30cm","non","ab",5568,12822,-0.834126522532947,"ANDRA",4,5,-1
"Thil","B10THTR","réduit 15cm","non","B10THLT","labour 30cm","non","ab",5568,12822,-0.834126522532947,"TIGA_rural",4,5,-1
"Thil","B10THTS","réduit 7cm","non","B10THLT","labour 30cm","non","ab",7161,12822,-0.582512809540263,"RMQS_Biodiversite",5,5,0
"Thil","B10THTS","réduit 7cm","non","B10THLT","labour 30cm","non","ab",7161,12822,-0.582512809540263,"RMQS_BioDiv_Bretagne",3,4,-1
"Thil","B10THTS","réduit 7cm","non","B10THLT","labour 30cm","non","ab",7161,12822,-0.582512809540263,"ANDRA",4,5,-1
"Thil","B10THTS","réduit 7cm","non","B10THLT","labour 30cm","non","ab",7161,12822,-0.582512809540263,"TIGA_rural",5,5,0
"Yvetot","B10YVPP","prair perm","non","B10YVGC","blé","non","RSr",4,4.99999994553415,-0.223143540421039,"RMQS_Biodiversite",2,3,-1
"Yvetot","B10YVPP","prair perm","non","B10YVGC","blé","non","RSr",4,4.99999994553415,-0.223143540421039,"RMQS_BioDiv_Bretagne",1,2,-1
"Yvetot","B10YVPP","prair perm","non","B10YVGC","blé","non","RSr",4,4.99999994553415,-0.223143540421039,"ANDRA",1,1,0
"Yvetot","B10YVPP","prair perm","non","B10YVGC","blé","non","RSr",4,4.99999994553415,-0.223143540421039,"TIGA_rural",2,2,0
"Yvetot","B10YVSI","prair rest 1","non","B10YVGC","blé","non","RSr",2.99999999999999,4.99999994553415,-0.510825612872824,"RMQS_Biodiversite",1,3,-2
"Yvetot","B10YVSI","prair rest 1","non","B10YVGC","blé","non","RSr",2.99999999999999,4.99999994553415,-0.510825612872824,"RMQS_BioDiv_Bretagne",1,2,-1
