"framework","score","xmin","xmax","indicator"
"RMQS_BioDiv_Bretagne","2",2642,4670.8,"ab"
"RMQS_BioDiv_Bretagne","3",4670.8,9527.80000000001,"ab"
"RMQS_BioDiv_Bretagne","4",9527.80000000001,18205.6,"ab"
"RMQS_BioDiv_Bretagne","5",18205.6,45044,"ab"
"RMQS_BioDiv_Bretagne","6",45044,110000,"ab"
"ANDRA","1",0,1391.6,"ab"
"ANDRA","2",1391.6,3185,"ab"
"ANDRA","3",3185,5071,"ab"
"ANDRA","4",5071,8159.6,"ab"
"ANDRA","5",8159.6,47283,"ab"
"ANDRA","6",47283,110000,"ab"
"TIGA_rural","1",0,1298,"ab"
"TIGA_rural","2",1298,2594,"ab"
"TIGA_rural","3",2594,4363,"ab"
"TIGA_rural","4",4363,6958,"ab"
"TIGA_rural","5",6958,105531,"ab"
"TIGA_rural","6",105531,110000,"ab"
