"scenario","framework","indicator","boundary","probability","value"
"revised_full_untrimmed","RMQS_Biodiversite","RSr","q00",0,1
"revised_full_untrimmed","RMQS_Biodiversite","RSr","q20",0.2,4
"revised_full_untrimmed","RMQS_Biodiversite","RSr","q40",0.4,4.99999033695954
"revised_full_untrimmed","RMQS_Biodiversite","RSr","q60",0.6,5.99999999999995
"revised_full_untrimmed","RMQS_Biodiversite","RSr","q80",0.8,7.99999999998955
"revised_full_untrimmed","RMQS_Biodiversite","RSr","q100",1,14.9966349261815
"revised_full_untrimmed","RMQS_Biodiversite","Shannon","q00",0,0
"revised_full_untrimmed","RMQS_Biodiversite","Shannon","q20",0.2,1.0237213533327
"revised_full_untrimmed","RMQS_Biodiversite","Shannon","q40",0.4,1.16910972651313
"revised_full_untrimmed","RMQS_Biodiversite","Shannon","q60",0.6,1.45253829113971
"revised_full_untrimmed","RMQS_Biodiversite","Shannon","q80",0.8,1.66050196732777
"revised_full_untrimmed","RMQS_Biodiversite","Shannon","q100",1,2.16767466751456
"revised_full_untrimmed","RMQS_Biodiversite","Pielou","q00",0,0.143814592998474
"revised_full_untrimmed","RMQS_Biodiversite","Pielou","q20",0.2,0.70459053001983
"revised_full_untrimmed","RMQS_Biodiversite","Pielou","q40",0.4,0.784673078142235
"revised_full_untrimmed","RMQS_Biodiversite","Pielou","q60",0.6,0.826319880971179
"revised_full_untrimmed","RMQS_Biodiversite","Pielou","q80",0.8,0.882968696082093
"revised_full_untrimmed","RMQS_Biodiversite","Pielou","q100",1,1
"revised_full_untrimmed","RMQS_Biodiversite","ab","q00",0,118
"revised_full_untrimmed","RMQS_Biodiversite","ab","q20",0.2,1180
"revised_full_untrimmed","RMQS_Biodiversite","ab","q40",0.4,1980.8
"revised_full_untrimmed","RMQS_Biodiversite","ab","q60",0.6,3089.4
"revised_full_untrimmed","RMQS_Biodiversite","ab","q80",0.8,5731
"revised_full_untrimmed","RMQS_Biodiversite","ab","q100",1,30187
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","RSr","q00",0,1
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","RSr","q20",0.2,4.99999909127444
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","RSr","q40",0.4,7.76375301926495
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","RSr","q60",0.6,8.99956905866885
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","RSr","q80",0.8,9.99999664800544
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","RSr","q100",1,14.5919056262512
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","Shannon","q00",0,0
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","Shannon","q20",0.2,1.0484425186721
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","Shannon","q40",0.4,1.32110411123163
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","Shannon","q60",0.6,1.51196675609774
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","Shannon","q80",0.8,1.79445600956902
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","Shannon","q100",1,2.38969193413396
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","Pielou","q00",0,0.210533223074617
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","Pielou","q20",0.2,0.576572174343988
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","Pielou","q40",0.4,0.696565479831307
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","Pielou","q60",0.6,0.777418638538783
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","Pielou","q80",0.8,0.864546590619231
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","Pielou","q100",1,1
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","ab","q00",0,118
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","ab","q20",0.2,2642
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","ab","q40",0.4,4670.8
