"scenario","framework","indicator","boundary","probability","value"
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","ab","q60",0.6,9527.80000000001
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","ab","q80",0.8,18205.6
"revised_full_untrimmed","RMQS_BioDiv_Bretagne","ab","q100",1,45044
"revised_full_untrimmed","ANDRA","RSr","q00",0,0
"revised_full_untrimmed","ANDRA","RSr","q20",0.2,5.99999999999998
"revised_full_untrimmed","ANDRA","RSr","q40",0.4,7
"revised_full_untrimmed","ANDRA","RSr","q60",0.6,8.9997035050874
"revised_full_untrimmed","ANDRA","RSr","q80",0.8,10.9999990511969
"revised_full_untrimmed","ANDRA","RSr","q100",1,18.9933662291844
"revised_full_untrimmed","ANDRA","Shannon","q00",0,0
"revised_full_untrimmed","ANDRA","Shannon","q20",0.2,1.36866003280225
"revised_full_untrimmed","ANDRA","Shannon","q40",0.4,1.66660355880165
"revised_full_untrimmed","ANDRA","Shannon","q60",0.6,1.76269134818456
"revised_full_untrimmed","ANDRA","Shannon","q80",0.8,2.0269670030043
"revised_full_untrimmed","ANDRA","Shannon","q100",1,2.67973295799589
"revised_full_untrimmed","ANDRA","Pielou","q00",0,0.395145499198815
"revised_full_untrimmed","ANDRA","Pielou","q20",0.2,0.746958496250836
"revised_full_untrimmed","ANDRA","Pielou","q40",0.4,0.808787848157276
"revised_full_untrimmed","ANDRA","Pielou","q60",0.6,0.865515861581627
"revised_full_untrimmed","ANDRA","Pielou","q80",0.8,0.930628224416578
"revised_full_untrimmed","ANDRA","Pielou","q100",1,1
"revised_full_untrimmed","ANDRA","ab","q00",0,0
"revised_full_untrimmed","ANDRA","ab","q20",0.2,1391.6
"revised_full_untrimmed","ANDRA","ab","q40",0.4,3185
"revised_full_untrimmed","ANDRA","ab","q60",0.6,5071
"revised_full_untrimmed","ANDRA","ab","q80",0.8,8159.6
"revised_full_untrimmed","ANDRA","ab","q100",1,47283
"revised_full_untrimmed","TIGA_rural","RSr","q00",0,0
"revised_full_untrimmed","TIGA_rural","RSr","q20",0.2,4
"revised_full_untrimmed","TIGA_rural","RSr","q40",0.4,5.99999999999943
"revised_full_untrimmed","TIGA_rural","RSr","q60",0.6,7
"revised_full_untrimmed","TIGA_rural","RSr","q80",0.8,8.99999924845188
"revised_full_untrimmed","TIGA_rural","RSr","q100",1,17.8781273714606
"revised_full_untrimmed","TIGA_rural","Shannon","q00",0,0
"revised_full_untrimmed","TIGA_rural","Shannon","q20",0.2,1.04999916139602
"revised_full_untrimmed","TIGA_rural","Shannon","q40",0.4,1.3793606637285
"revised_full_untrimmed","TIGA_rural","Shannon","q60",0.6,1.57234689457522
"revised_full_untrimmed","TIGA_rural","Shannon","q80",0.8,1.76545077411553
"revised_full_untrimmed","TIGA_rural","Shannon","q100",1,2.54831912694416
"revised_full_untrimmed","TIGA_rural","Pielou","q00",0,0.293135167421381
"revised_full_untrimmed","TIGA_rural","Pielou","q20",0.2,0.690793469905141
"revised_full_untrimmed","TIGA_rural","Pielou","q40",0.4,0.787410336409773
"revised_full_untrimmed","TIGA_rural","Pielou","q60",0.6,0.845558492884322
"revised_full_untrimmed","TIGA_rural","Pielou","q80",0.8,0.907662995657693
"revised_full_untrimmed","TIGA_rural","Pielou","q100",1,1
"revised_full_untrimmed","TIGA_rural","ab","q00",0,0
"revised_full_untrimmed","TIGA_rural","ab","q20",0.2,1298
"revised_full_untrimmed","TIGA_rural","ab","q40",0.4,2594
"revised_full_untrimmed","TIGA_rural","ab","q60",0.6,4363
"revised_full_untrimmed","TIGA_rural","ab","q80",0.8,6958
"revised_full_untrimmed","TIGA_rural","ab","q100",1,105531
