"indicator","framework","score_factor","n"
"ab","RMQS_Biodiversite","6",2
"ab","RMQS_Biodiversite","5",9
"ab","RMQS_Biodiversite","4",5
"ab","RMQS_Biodiversite","3",4
"ab","RMQS_Biodiversite","2",1
"ab","RMQS_Biodiversite","1",4
"ab","RMQS_Biodiversite","0",1
"ab","RMQS_BioDiv_Bretagne","6",0
"ab","RMQS_BioDiv_Bretagne","5",4
"ab","RMQS_BioDiv_Bretagne","4",3
"ab","RMQS_BioDiv_Bretagne","3",6
"ab","RMQS_BioDiv_Bretagne","2",4
"ab","RMQS_BioDiv_Bretagne","1",8
"ab","RMQS_BioDiv_Bretagne","0",1
"ab","ANDRA","6",0
"ab","ANDRA","5",8
"ab","ANDRA","4",4
"ab","ANDRA","3",4
"ab","ANDRA","2",5
"ab","ANDRA","1",5
"ab","ANDRA","0",0
"ab","TIGA_rural","6",0
"ab","TIGA_rural","5",10
"ab","TIGA_rural","4",4
"ab","TIGA_rural","3",3
"ab","TIGA_rural","2",4
"ab","TIGA_rural","1",5
"ab","TIGA_rural","0",0
"Pielou","RMQS_Biodiversite","6",0
"Pielou","RMQS_Biodiversite","5",4
"Pielou","RMQS_Biodiversite","4",1
"Pielou","RMQS_Biodiversite","3",5
"Pielou","RMQS_Biodiversite","2",4
"Pielou","RMQS_Biodiversite","1",10
"Pielou","RMQS_Biodiversite","0",1
"Pielou","RMQS_BioDiv_Bretagne","6",0
"Pielou","RMQS_BioDiv_Bretagne","5",5
"Pielou","RMQS_BioDiv_Bretagne","4",6
"Pielou","RMQS_BioDiv_Bretagne","3",3
"Pielou","RMQS_BioDiv_Bretagne","2",6
"Pielou","RMQS_BioDiv_Bretagne","1",4
"Pielou","RMQS_BioDiv_Bretagne","0",1
"Pielou","ANDRA","6",0
"Pielou","ANDRA","5",3
"Pielou","ANDRA","4",2
"Pielou","ANDRA","3",1
"Pielou","ANDRA","2",6
"Pielou","ANDRA","1",12
"Pielou","ANDRA","0",1
"Pielou","TIGA_rural","6",0
"Pielou","TIGA_rural","5",3
"Pielou","TIGA_rural","4",2
"Pielou","TIGA_rural","3",5
"Pielou","TIGA_rural","2",4
"Pielou","TIGA_rural","1",10
"Pielou","TIGA_rural","0",1
"RSr","RMQS_Biodiversite","6",0
"RSr","RMQS_Biodiversite","5",7
"RSr","RMQS_Biodiversite","4",5
"RSr","RMQS_Biodiversite","3",4
"RSr","RMQS_Biodiversite","2",4
"RSr","RMQS_Biodiversite","1",5
"RSr","RMQS_Biodiversite","0",1
"RSr","RMQS_BioDiv_Bretagne","6",0
"RSr","RMQS_BioDiv_Bretagne","5",3
"RSr","RMQS_BioDiv_Bretagne","4",1
"RSr","RMQS_BioDiv_Bretagne","3",5
"RSr","RMQS_BioDiv_Bretagne","2",7
"RSr","RMQS_BioDiv_Bretagne","1",9
"RSr","RMQS_BioDiv_Bretagne","0",1
"RSr","ANDRA","6",0
"RSr","ANDRA","5",2
"RSr","ANDRA","4",2
"RSr","ANDRA","3",6
"RSr","ANDRA","2",2
"RSr","ANDRA","1",14
"RSr","ANDRA","0",0
"RSr","TIGA_rural","6",0
"RSr","TIGA_rural","5",4
"RSr","TIGA_rural","4",6
"RSr","TIGA_rural","3",2
"RSr","TIGA_rural","2",8
"RSr","TIGA_rural","1",6
"RSr","TIGA_rural","0",0
"Shannon","RMQS_Biodiversite","6",0
"Shannon","RMQS_Biodiversite","5",4
"Shannon","RMQS_Biodiversite","4",5
"Shannon","RMQS_Biodiversite","3",6
"Shannon","RMQS_Biodiversite","2",1
"Shannon","RMQS_Biodiversite","1",10
"Shannon","RMQS_Biodiversite","0",0
"Shannon","RMQS_BioDiv_Bretagne","6",0
"Shannon","RMQS_BioDiv_Bretagne","5",1
"Shannon","RMQS_BioDiv_Bretagne","4",8
"Shannon","RMQS_BioDiv_Bretagne","3",2
"Shannon","RMQS_BioDiv_Bretagne","2",5
"Shannon","RMQS_BioDiv_Bretagne","1",10
"Shannon","RMQS_BioDiv_Bretagne","0",0
"Shannon","ANDRA","6",0
"Shannon","ANDRA","5",0
"Shannon","ANDRA","4",2
"Shannon","ANDRA","3",2
"Shannon","ANDRA","2",6
"Shannon","ANDRA","1",16
"Shannon","ANDRA","0",0
"Shannon","TIGA_rural","6",0
"Shannon","TIGA_rural","5",2
"Shannon","TIGA_rural","4",5
"Shannon","TIGA_rural","3",3
"Shannon","TIGA_rural","2",6
"Shannon","TIGA_rural","1",10
"Shannon","TIGA_rural","0",0
