"framework","indicator","n","mean","sd","skewness","kurtosis","kurtosis_historical_double_subtracted"
"RMQS_Biodiversite","RSr",58,6.03459543093425,2.8830751030716,0.854086627848753,0.569740103147387,-2.43025989685261
"RMQS_Biodiversite","Shannon",58,1.30575945473395,0.471904881063262,-0.397382025138468,-0.12989663289485,-3.12989663289485
"RMQS_Biodiversite","Pielou",57,0.780640116572572,0.155880662572264,-1.73173641610782,4.08822722721034,1.08822722721034
"RMQS_Biodiversite","ab",58,4023.70689655172,5095.85918244608,3.43178454265874,13.4433297583809,10.4433297583809
"RMQS_BioDiv_Bretagne","RSr",89,7.96183136764716,3.10165131855454,-0.118699491810134,-0.650485415125968,-3.65048541512597
"RMQS_BioDiv_Bretagne","Shannon",89,1.40901223784178,0.447850270359027,-0.390214821858559,0.276477511692017,-2.72352248830798
"RMQS_BioDiv_Bretagne","Pielou",88,0.71984787483735,0.16126222710357,-0.592505521584514,-0.091016309972479,-3.09101630997248
"RMQS_BioDiv_Bretagne","ab",89,10925.1011235955,11003.4336469917,1.41531232820952,1.26231550037603,-1.73768449962397
"ANDRA","RSr",90,8.3732305838388,3.35994444508613,0.337083196195393,0.647909600394724,-2.35209039960528
"ANDRA","Shannon",90,1.65245063983559,0.481934092928629,-0.948772630247959,1.72492548665256,-1.27507451334744
"ANDRA","Pielou",88,0.818614921638955,0.128240215542368,-1.19337473666986,1.35697931589221,-1.64302068410779
"ANDRA","ab",90,5567.52222222222,6980.59118778355,3.76239653546643,16.9388229824078,13.9388229824078
"TIGA_rural","RSr",345,6.75181661586732,2.92507324177623,0.376512062348697,0.565603206732702,-2.4343967932673
"TIGA_rural","Shannon",345,1.41144162356697,0.455938292232719,-0.709512469304846,0.668661652392728,-2.33133834760727
"TIGA_rural","Pielou",338,0.790001034204512,0.139589312104132,-1.12973602419154,1.29624533999609,-1.70375466000391
"TIGA_rural","ab",345,5174.07826086957,7881.85999712037,7.5117857279232,81.0427838671489,78.0427838671489
