Nom_site,treatment_site,treatment,contamination,control_site,control_treatment,control_contamination,indicator,raw_treatment,raw_control,LRR
QualiAgro,B09BIO,BIO,non,B09TEM,TEM,non,RSr,4,5.99999999921906,-0.405465107978008
QualiAgro,B09DUB,DUB,non,B09TEM,TEM,non,RSr,7.99999816602686,5.99999999921906,0.287681843335269
QualiAgro,B09FUM,FUM,non,B09TEM,TEM,non,RSr,6,5.99999999921906,1.30156330149645e-10
QualiAgro,B09OMR,OMR,non,B09TEM,TEM,non,RSr,2,5.99999999921906,-1.09861228853795
QualiAgro,B09BIO,BIO,non,B09TEM,TEM,non,ab,1415,2563,-0.594048916286733
QualiAgro,B09DUB,DUB,non,B09TEM,TEM,non,ab,3270,2563,0.243611537527228
QualiAgro,B09FUM,FUM,non,B09TEM,TEM,non,ab,971,2563,-0.970607258072746
QualiAgro,B09OMR,OMR,non,B09TEM,TEM,non,ab,442,2563,-1.75762384428637
Thil,B10THLA,labour 15cm,non,B10THLT,labour 30cm,non,RSr,8.99069639768162,12.8790411819595,-0.359410966436571
Thil,B10THTR,réduit 15cm,non,B10THLT,labour 30cm,non,RSr,11.9983426509358,12.8790411819595,-0.0708327476832018
Thil,B10THTS,réduit 7cm,non,B10THLT,labour 30cm,non,RSr,9.99535556235837,12.8790411819595,-0.253480734168316
Thil,B10THLA,labour 15cm,non,B10THLT,labour 30cm,non,ab,8489,12822,-0.412391237809235
Thil,B10THTR,réduit 15cm,non,B10THLT,labour 30cm,non,ab,5568,12822,-0.834126522532947
Thil,B10THTS,réduit 7cm,non,B10THLT,labour 30cm,non,ab,7161,12822,-0.582512809540263
Yvetot,B10YVPP,prair perm,non,B10YVGC,blé,non,RSr,4,4.99999994553415,-0.223143540421039
Yvetot,B10YVSI,prair rest 1,non,B10YVGC,blé,non,RSr,2.99999999999999,4.99999994553415,-0.510825612872824
Yvetot,B10YVSII,prair rest 2,non,B10YVGC,blé,non,RSr,5.99999315079364,4.99999994553415,0.182320426152081
Yvetot,B10YVSIII,blé,non,B10YVGC,blé,non,RSr,0,4.99999994553415,
Yvetot,B10YVSIV,prair temp,non,B10YVGC,blé,non,RSr,8.92318471557118,4.99999994553415,0.579215012224255
Yvetot,B10YVPP,prair perm,non,B10YVGC,blé,non,ab,441,2828,-1.85828015156962
Yvetot,B10YVSI,prair rest 1,non,B10YVGC,blé,non,ab,4509,2828,0.466505651404621
Yvetot,B10YVSII,prair rest 2,non,B10YVGC,blé,non,ab,7782,2828,1.01224362652804
Yvetot,B10YVSIII,blé,non,B10YVGC,blé,non,ab,88,2828,-3.46998821253826
Yvetot,B10YVSIV,prair temp,non,B10YVGC,blé,non,ab,13794,2828,1.58466396697477
MetalEurope,B09M103C,103,oui,B09MTEC,T,non,RSr,10.3112386898104,3,1.23462214664548
MetalEurope,B09M117C,117,oui,B09MTEC,T,non,RSr,7.9999999980057,3,0.980829252762439
MetalEurope,B09M103C,103,oui,B09MTEC,T,non,ab,28650,883,3.47958352153893
MetalEurope,B09M117C,117,oui,B09MTEC,T,non,ab,2386,883,0.994048402053901
